City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
565,carrigaline,51.8117,-8.3986,56.95,94.0,75.0,18.41,IE,2024-11-07 03:39:53
566,gorodoviki,46.1353,41.9656,44.73,63.0,100.0,14.2,RU,2024-11-07 03:39:54
567,muurame,62.1333,25.6667,41.56,99.0,100.0,5.99,FI,2024-11-07 03:39:55
568,cestos city,5.46,-9.5828,77.45,83.0,24.0,3.76,LR,2024-11-07 03:39:56
569,puerto boyaca,5.9758,-74.5885,73.42,98.0,96.0,0.6,CO,2024-11-07 03:39:57
570,cambria,35.5641,-121.0808,54.05,69.0,17.0,1.99,US,2024-11-07 03:39:58
571,ar rahad,12.7167,30.65,71.82,28.0,1.0,5.39,SD,2024-11-07 03:39:59
572,palmer,42.1584,-72.3287,67.96,64.0,40.0,8.05,US,2024-11-07 03:40:01
573,zhangye,38.9342,100.4517,55.89,18.0,40.0,2.28,CN,2024-11-07 03:40:02
574,ta`u,-14.2336,-169.5144,80.17,81.0,53.0,12.46,AS,2024-11-07 03:40:03
575,artigas,-30.4,-56.4667,66.18,97.0,87.0,10.16,UY,2024-11-07 03:38:43
576,bahia honda,22.9036,-83.1592,78.55,90.0,100.0,29.71,CU,2024-11-07 03:40:05
577,brookings,44.3114,-96.7984,35.06,97.0,0.0,5.75,US,2024-11-07 03:39:58
578,mount pearl,47.5166,-52.7813,48.54,96.0,100.0,18.41,CA,2024-11-07 03:40:07
579,arraial do cabo,-22.9661,-42.0278,73.44,91.0,60.0,25.57,BR,2024-11-07 03:40:09
580,onguday,50.75,86.15,43.02,50.0,86.0,9.89,RU,2024-11-07 03:40:10
581,brisas barra de suchiate,14.55,-92.2167,79.95,86.0,100.0,6.71,MX,2024-11-07 03:40:11
582,glace bay,46.1969,-59.957,48.88,85.0,75.0,17.27,CA,2024-11-07 03:40:12
583,sikasso,10.9167,-7.0,68.47,38.0,0.0,2.51,ML,2024-11-07 03:40:13
584,katsuura,35.1333,140.3,61.52,50.0,40.0,9.31,JP,2024-11-07 03:40:14
585,antonio enes,-16.2325,39.9086,79.47,83.0,22.0,5.93,MZ,2024-11-07 03:40:16
586,red hill,33.9996,-79.2581,71.85,1.0,100.0,4.74,US,2024-11-07 03:40:17
587,sampit,-2.5333,112.95,86.94,67.0,90.0,2.98,ID,2024-11-07 03:40:18
589,soata,6.3337,-72.6828,48.69,89.0,78.0,3.29,CO,2024-11-07 03:40:20
591,torzhok,57.0436,34.9622,40.1,89.0,100.0,8.99,RU,2024-11-07 03:40:23
592,aleksandriyskaya,44.2272,43.3453,45.23,65.0,100.0,18.81,RU,2024-11-07 03:40:24
